filename,slide_id,specimen_id,species,clade,image_type,mounting,pixel_size_um,preservation,analysis_set,sra_accession,genome_accession,notes
Process_376_green.ome.tiff,376,3468,D. brimleyorum,brimleyorum,pmount,pmount,0.12,Dried Blood,True,,,
Process_377_green.ome.tiff,377,3360,D. tilleyi,conanti Beta,pmount,pmount,0.12,Dried Blood,True,SRX21394251,GCA_034782015.1,
Process_378_green.ome.tiff,378,3517,D. perlapsus,ocoee D,pmount,pmount,0.12,Dried Blood,True,SRX20503048,GCA_032275285.1,
Process_379_green.ome.tiff,379,3356,D. tilleyi,conanti Beta,pmount,pmount,0.12,Dried Blood,True,SRX21394251,GCA_034782015.1,
Process_380_green.ome.tiff,380,3441,D. anicetus,conanti F,pmount,pmount,0.12,Dried Blood,True,SRX21425396,GCA_033119125.1,
Process_381_green.ome.tiff,381,3518,D. perlapsus,ocoee D,pmount,pmount,0.12,Dried Blood,True,SRX20503048,GCA_032275285.1,
Process_382_green.ome.tiff,382,3599,D. perlapsus,ocoee D,pmount,pmount,0.12,Dried Blood,True,SRX20503048,GCA_032275285.1,
Process_383_green.ome.tiff,383,3418,,,pmount,pmount,0.12,Dried Blood,False,,,
Process_384_green.ome.tiff,384,3459,D. valtos,auriculatus C,pmount,pmount,0.12,Dried Blood,True,SRX20503015,GCA_032357565.1,
Process_385_green.ome.tiff,385,3455,D. bairdi,fuscus D,pmount,pmount,0.12,Dried Blood,True,SRX21425397,GCA_034783875.1,
Process_386_green.ome.tiff,386,3456,D. lycos,fuscus C,pmount,pmount,0.12,Dried Blood,True,SRX21425400,GCA_035049765.1,
Process_387_green.ome.tiff,387,3457,D. lycos,fuscus C,pmount,pmount,0.12,Dried Blood,True,SRX21425400,GCA_035049765.1,
Process_388_green.ome.tiff,388,3458,D. valtos,auriculatus C,pmount,pmount,0.12,Dried Blood,True,SRX20503015,GCA_032357565.1,
Process_389_green.ome.tiff,389,3506,D. ocoee,ocoee FGH,pmount,pmount,0.12,Dried Blood,True,SRX19952863,GCA_030264995.1,
Process_390_green.ome.tiff,390,3507,D. ocoee,ocoee FGH,pmount,pmount,0.12,Dried Blood,True,SRX19952863,GCA_030264995.1,
Process_391_green.ome.tiff,391,3521,D. folkertsi,folkertsi,pmount,pmount,0.12,Dried Blood,True,,,
Process_392_green.ome.tiff,392,3520,D. folkertsi,folkertsi,pmount,pmount,0.12,Dried Blood,True,,,
Process_393_green.ome.tiff,393,168277,D. aeneus,,pmount,dry,0.12,Fixed,True,SRX19953415,GCA_030264635.1,
Process_394_green.ome.tiff,394,,,,pmount,dry,0.12,,False,,,
Process_395_green.ome.tiff,395,168277,D. aeneus,,pmount,dry,0.12,Fixed,True,SRX19953415,GCA_030264635.1,
Process_396_green.ome.tiff,396,166183,D. aeneus,,pmount,dry,0.12,Fixed,True,SRX19953415,GCA_030264635.1,
Process_397_green.ome.tiff,397,166183,D. aeneus,,pmount,dry,0.12,Fixed,True,SRX19953415,GCA_030264635.1,
Process_398_green.ome.tiff,398,92228,D. aureatus,,pmount,dry,0.12,Fixed,True,SRX20502577,GCA_032274985.1,
Process_399_green.ome.tiff,399,92227,D. aureatus,,pmount,dry,0.12,Fixed,True,SRX20502577,GCA_032274985.1,
Process_400_green.ome.tiff,400,92227,D. aureatus,,pmount,dry,0.12,Fixed,True,SRX20502577,GCA_032274985.1,
Process_401_green.ome.tiff,401,166184,D. auriculatus,,pmount,dry,0.12,Fixed,True,SRX19953419,GCA_030264895.1,
Process_402_green.ome.tiff,402,166184,D. auriculatus,,pmount,dry,0.12,Fixed,True,SRX19953419,GCA_030264895.1,
Process_403_green.ome.tiff,403,166185,D. auriculatus,,pmount,dry,0.12,Fixed,True,SRX19953419,GCA_030264895.1,
Process_404_green.ome.tiff,404,110793,D. brimleyorum,,pmount,dry,0.12,Fixed,True,,,
Process_405_green.ome.tiff,405,168405,D. brimleyorum,,pmount,dry,0.12,Fixed,True,,,
Process_406_green.ome.tiff,406,168405,D. brimleyorum,,pmount,dry,0.12,Fixed,True,,,
Process_407_green.ome.tiff,407,,,,pmount,dry,0.12,,False,,,
Process_409_green.ome.tiff,409,,,,pmount,dry,0.12,,False,,,
Process_410_green.ome.tiff,410,92122,D. cheaha,,pmount,dry,0.12,Fixed,True,SRX20502857,GCA_032353815.1,
Process_411_green.ome.tiff,411,92190,D. cheaha,,pmount,dry,0.12,Fixed,True,SRX20502857,GCA_032353815.1,
Process_412_green.ome.tiff,412,92196,D. cheaha,,pmount,dry,0.12,Fixed,True,SRX20502857,GCA_032353815.1,
Process_413_green.ome.tiff,413,32469,D. fuscus,,pmount,dry,0.12,Fixed,True,SRX20497025,GCA_032353935.1,
Process_414_green.ome.tiff,414,32470,D. fuscus,,pmount,dry,0.12,Fixed,True,SRX20497025,GCA_032353935.1,
Process_415_green.ome.tiff,415,59842,D. fuscus,,pmount,dry,0.12,Fixed,True,SRX20497025,GCA_032353935.1,
Process_416_green.ome.tiff,416,59842,D. fuscus,,pmount,dry,0.12,Fixed,True,SRX20497025,GCA_032353935.1,
Process_417_green.ome.tiff,417,52825,D. gvnigeusgwotli,,pmount,dry,0.12,Fixed,True,SRX20502827,GCA_032353775.1,
Process_418_green.ome.tiff,418,141510,D. mavrokoilius,,pmount,dry,0.12,Fixed,True,SRX20503049,GCA_032354855.1,
Process_419_green.ome.tiff,419,52826,D. gvnigeusgwotli,,pmount,dry,0.12,Fixed,True,SRX20502827,GCA_032353775.1,
Process_420_green.ome.tiff,420,32512,D. imitator,,pmount,dry,0.12,Fixed,True,,,
Process_421_green.ome.tiff,421,32524,D. imitator,,pmount,dry,0.12,Fixed,True,,,
Process_422_green.ome.tiff,422,,,,pmount,dry,0.12,,False,,,
Process_423_green.ome.tiff,423,169201,D. kanawha,,pmount,dry,0.12,Fixed,True,SRX20502939,GCA_032353855.1,
Process_424_green.ome.tiff,424,169201,D. kanawha,,pmount,dry,0.12,Fixed,True,SRX20502939,GCA_032353855.1,
Process_425_green.ome.tiff,425,169204,D. kanawha,,pmount,dry,0.12,Fixed,True,SRX20502939,GCA_032353855.1,
Process_426_green.ome.tiff,426,169204,D. kanawha,,pmount,dry,0.12,Fixed,True,SRX20502939,GCA_032353855.1,
Process_427_green.ome.tiff,427,201239,D. marmoratus,,pmount,dry,0.12,Fixed,True,SRX19954879,GCA_031753695.1,
Process_428_green.ome.tiff,428,209455,D. marmoratus,,pmount,dry,0.12,Fixed,True,SRX19954879,GCA_031753695.1,
Process_429_green.ome.tiff,429,141511,D. mavrokoilius,,pmount,dry,0.12,Fixed,True,SRX20503049,GCA_032354855.1,
Process_430_green.ome.tiff,430,169496,D. mavrokoilius,,pmount,dry,0.12,Fixed,True,SRX20503049,GCA_032354855.1,
Process_431_green.ome.tiff,431,169496,D. mavrokoilius,,pmount,dry,0.12,Fixed,True,SRX20503049,GCA_032354855.1,
Process_432_green.ome.tiff,432,52805,D. monticola,,pmount,dry,0.12,Fixed,True,SRX19955091,GCA_031753675.1,
Process_433_green.ome.tiff,433,52805,D. monticola,,pmount,dry,0.12,Fixed,True,SRX19955091,GCA_031753675.1,
Process_434_green.ome.tiff,434,146175,D. monticola,,pmount,dry,0.12,Fixed,True,SRX19955091,GCA_031753675.1,
Process_435_green.ome.tiff,435,169445,D. orestes,,pmount,dry,0.12,Fixed,True,SRX19952890,GCA_030264915.1,
Process_436_green.ome.tiff,436,91572,D. orestes,,pmount,dry,0.12,Fixed,True,SRX19952890,GCA_030264915.1,
Process_437_green.ome.tiff,437,109787,D. orestes,,pmount,dry,0.12,Fixed,True,SRX19952890,GCA_030264915.1,
Process_438_green.ome.tiff,438,141811,D. organi,,pmount,dry,0.12,Fixed,True,SRX19952929,GCA_030180145.1,
Process_439_green.ome.tiff,439,169213,,,pmount,dry,0.12,Fixed,False,,,
Process_440_green.ome.tiff,440,220829,D. wrighti,,pmount,dry,0.12,Fixed,True,SRX19958881,GCA_030265035.1,
Process_441_green.ome.tiff,441,220831,D. wrighti,,pmount,dry,0.12,Fixed,True,SRX19958881,GCA_030265035.1,
Process_442_green.ome.tiff,442,220830,D. wrighti,,pmount,dry,0.12,Fixed,True,SRX19958881,GCA_030265035.1,
Process_443_green.ome.tiff,443,220831,D. wrighti,,pmount,dry,0.12,Fixed,True,SRX19958881,GCA_030265035.1,
Process_444_green.ome.tiff,444,186085,,,pmount,dry,0.12,Fixed,False,,,
Process_445_green.ome.tiff,445,186037,,,pmount,dry,0.12,Fixed,False,,,
Process_446_green.ome.tiff,446,222609,D. santeetlah,,pmount,dry,0.12,Fixed,True,SRX19955089,GCA_031753655.1,
Process_447_green.ome.tiff,447,222615,D. santeetlah,,pmount,dry,0.12,Fixed,True,SRX19955089,GCA_031753655.1,
Process_448_green.ome.tiff,448,141144,D. welteri,,pmount,dry,0.12,Fixed,True,SRX19958882,GCA_030264495.1,
